"place_name","place_id","category","text","name","isLocalGuide","textTranslated","publishedAtDate","reviewId","reviewUrl","reviewDetailedRating","originalLanguage","translatedLanguage","isAdvertisement","placeId","location","city","countryCode","categoryName","categories","title","totalScore","permanentlyClosed","temporarilyClosed","scrapedAt","language","price","hotelStars","reviewerId","reviewerNumberOfReviews","likesCount","stars","reviewsCount"
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram","اللهم أنت السلام ومنك السلام فحينا ربنا بالسلام","MF.F //","True","O Allah, You are peace and from You is peace, so greet us, our Lord, with peace.","2025-05-19T11:51:06.666Z","ChdDSUhNMG9nS0VJZml3SWIzaXBXdjZRRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJZml3SWIzaXBXdjZRRRAB!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEIfiwIb3ipWv6QE%7CCgwIqraswQYQiKWFvgI%7C?hl=en","{}","ar","en","False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,108732657253639980000,59,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Massoud Khani","True",,"2025-05-19T11:29:05.452Z","ChZDSUhNMG9nS0VOZU00NGVEM29Ta0NnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOZU00NGVEM29Ta0NnEAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKENeM44eD3oSkCg%7CCgwIgayswQYQ2O6A2AE%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,106607667303540410000,5,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram","Very nice and cozy","Inquiry Learning Academy","False",,"2025-05-19T10:44:00.399Z","ChZDSUhNMG9nS0VMdUxxNHZpbWNfMFRREAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VMdUxxNHZpbWNfMFRREAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKELuLq4vimc_0TQ%7CCgwI8JaswQYQwKa_vgE%7C?hl=en","{}","en",,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,116300645250877590000,0,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Ali Khomaeini","False",,"2025-05-19T10:26:14.053Z","ChdDSUhNMG9nS0VJM1R0Ymp6bjlXUV9RRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJM1R0Ymp6bjlXUV9RRRAB!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEI3Ttbjzn9WQ_QE%7CCgsIxo6swQYQqMOzGQ%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,118384469705102200000,1,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Ali Hasan","False",,"2025-05-19T10:08:16.914Z","ChZDSUhNMG9nS0VOYVE1NUxKc3EtMk5REAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOYVE1NUxKc3EtMk5REAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKENaQ55LJsq-2NQ%7CCgwIkIaswQYQgMmBtAM%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,115750349954041840000,0,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"byçağrı byçağrı","False",,"2025-05-19T10:03:23.780Z","ChZDSUhNMG9nS0VONkEyT0NCamVqU1JREAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VONkEyT0NCamVqU1JREAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEN6A2OCBjejSRQ%7CCgwI64OswQYQqOr98wI%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,112092533086286600000,9,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"علي البدراني","False",,"2025-05-19T09:02:17.355Z","ChZDSUhNMG9nS0VLNmV6YldGX0plSmV3EAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VLNmV6YldGX0plSmV3EAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEK6ezbWF_JeJew%7CCgwImeerwQYQsKq5qQE%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,100655438698577870000,0,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Indahiib Kanaya","True",,"2025-05-19T08:29:13.416Z","ChZDSUhNMG9nS0VNbXZ4WmI3aE5IdEdnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VNbXZ4WmI3aE5IdEdnEAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEMmvxZb7hNHtGg%7CCgwI2derwQYQqPu3xgE%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,106321222469693100000,9,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Budy budiman Channel","True",,"2025-05-19T08:23:57.717Z","ChdDSUhNMG9nS0VLangyZXlnODRlVnB3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VLangyZXlnODRlVnB3RRAB!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEKjx2eyg84eVpwE%7CCgwIndWrwQYQiOek1gI%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,116488327331340260000,8,0,5,490781
"Masjid al-Haram","ChIJk7Q_TbcEwhURhUcJjk_50VU","Masjid al-Haram",,"Hery samsuratma","True",,"2025-05-19T08:00:01.771Z","ChZDSUhNMG9nS0VQRzl0TGk4MXJ5LVhBEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQRzl0TGk4MXJ5LVhBEAE!2m1!1s0x0:0x55d1f94f8e094785!3m1!1s2@1:CIHM0ogKEPG9tLi81ry-XA%7CCgwIgcqrwQYQqJH97wI%7C?hl=en","{}",,,"False","ChIJk7Q_TbcEwhURhUcJjk_50VU","{'lat': 21.423658, 'lng': 39.8253597}","Makkah","SA","Mosque","['Mosque', 'Tourist attraction']","Masjid al-Haram",4.9,"False","False","2025-05-19T12:11:49.698Z","en",,,109928922584252220000,48,0,5,490781
